date,result,filename,filesize,phpversion
2011-01-07 18:28:33,Post successfuly inserted. Operation took 0.495 seconds.,StarsitesTestDocument.docx,221731 Bytes,PHP 5.3.0
2011-01-07 18:32:37,Post successfuly inserted. Operation took 0.362 seconds.,StarsitesTestDocument.docx,221731 Bytes,PHP 5.3.0
2011-01-07 18:41:29,Post successfuly inserted. Operation took 0.331 seconds.,StarsitesTestDocument.docx,221731 Bytes,PHP 5.3.0
2011-01-07 18:44:16,Post successfuly inserted. Operation took 0.570 seconds.,StarsitesTestDocument.docx,221731 Bytes,PHP 5.3.0
2011-01-07 19:15:53,4. The uploaded file exceeds the upload_max_filesize directive in php.ini,no-file,no-size Bytes,PHP 5.3.0
2011-01-07 19:17:27,Post successfuly inserted. Operation took 11.831 seconds.,אלינור.docx,17371340 Bytes,PHP 5.3.0
2011-01-10 11:27:26,Post successfuly inserted. Operation took 12.103 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:30:31,Post successfuly inserted. Operation took 5.989 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:31:18,Post successfuly inserted. Operation took 10.409 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:32:34,Post successfuly inserted. Operation took 10.544 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:38:05,Post successfuly inserted. Operation took 12.460 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:41:06,Post successfuly inserted. Operation took 19.833 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:43:26,Post successfuly inserted. Operation took 17.776 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
2011-01-10 11:48:01,Post successfuly inserted. Operation took 17.136 seconds.,Klipspringers.docx,10852839 Bytes,PHP 5.3.0
